Law Firm	CLSIP Participating Cities - will be updated as new employers register. Updated as of 11/25	# of CLSIP Schedules 1 schedule = 22 interview slots .5 schedule = 11 interview slots	CLSIP Interview Date	Class Years Hiring at CLSIP	Lottery allows interviews on multiple schedules at CLSIP	CLSIP Position Description	Career Webpage and/or Direct Application Information	Firm profiles on Vault, Flo Forward, etc.	Firm Size (lawyers)	Total firmwide 2L 2026 summer associates	Number of 2L 2026 summer associates in each office location	Locations Hiring 1Ls for 2026 Summer Program	Locations Hiring 2Ls for 2027 Summer Program (May include offices not participating in CLSIP)	Summer Program Length  (in weeks)	Summer Program Assignment System  (e.g. free market, rotation, hired into practice group)	Return Offers After the 2L Summer (e.g. offer to join a practice group, general offer to return to the firm, with practice group assigned at a later date, rotation) 	Allows split summer w/ govt./public interest orgs.	Offers visa sponsorship	Weekly Summer Associate Salary	Contact/email which students may reach out to if they have any questions about their application/summer program	What makes this firm unique
Debevoise & Plimpton	New York, NY, San Francisco, CA	NY - 5 SF - 0.5	1/7	2L - Summer 2027	Yes	Hiring for our 2027 2L Summer Program in New York.	https://www.debevoise.com/careers/us-law-students	Vault: https://vault.com/company-profiles/law/debevoise-plimpton-llp  Flo Forward: https://florecruit.com/v2/app/forward/firms/debevoise  Chambers: https://chambers.com/law-firm/debevoise-plimpton-llp-usa-5:3835	961	86	DC: 3, New York: 78, San Francisco: 5	N/A	DC, New York, San Francisco	TBD	Free Market with staffing coordinators	Practice area preferences asked for after offer	Yes	Yes	$4,330	Name: Recruiting, Email: recruit@debevoise.com	Debevoise & Plimpton LLP is a premier law firm whose clients look to us to bring a distinctively high degree of quality, intensity and creativity to resolve their legal challenges effectively and cost-efficiently. Deep partner commitment, industry experience and a strategic approach enable the firm to bring clear commercial judgment to every matter. We draw on the strength of our culture and structure to deliver the best of the firm to every client through true collaboration. A hallmark of the firm is our commitment to pro bono legal services, to which we bring the same rigor and intensity as we do to our fee-earning work. Every year, the firm’s lawyers work on pro bono matters that reflect our commitment to creating a more just society and that are fundamental to who we are as lawyers.
Dechert LLP	Boston, MA, Charlotte, NC, New York, NY, Philadelphia, PA, Washington, DC	NY - 1 Boston and Philadelphia - 1 DC and Charlotte - 1	1/9	2L - Summer 2027	No	Dechert has built a global platform across 16 locations with a singular focus – delivering the highest-quality advice that is actionable, commercial and delivered efficiently. Our clients include corporations, financial institutions, sovereign states, quasi-sovereign entities and private and high-net-worth individuals all over the world. Dechert’s summer associate program will provide you with firsthand experience of practicing meaningful, high-stakes law at one of the world’s premier global firms. You will explore the practice areas that interest you most, rather than rotate through predetermined groups. The comprehensive program provides direct access to Dechert’s diverse, innovative culture – and the opportunity to find your own path forward. We are seeking rising 2Ls to join our 2027 summer associate program. Applicants must be class of 2028.	https://www.dechert.com/careers/law-students.html		1000+	77	Boston: 9, Charlotte: 8, DC: 10, Los Angeles: 2, New York: 23, Philadelphia: 18, San Francisco: 7	N/A	Boston, Charlotte, DC, Los Angeles, New York, Philadelphia, San Francisco	10	Associates are able to receive work from attorneys directly and/or through an Open assignment portal as coordinated by the recruitment team.	Practice area preferences asked for after offer	Varies by office location	Case-by-case basis	$4,326.92	Name: Recruiting Manager, Email: recruitingmanager@dechert.com	Dechert is a firm of 1,000+ attorneys hosting Summer Associate Programs in 7 domestic offices. The Dechert Summer Program offers the opportunity to explore various practice areas, helping associates to identify their greatest interests. The work undertaken over the summer mirrors that of a first-year associate, enabling a true determination if a particular area of law is the right fit.  When a summer associate returns as a fall associate, they are assigned to either the litigation or transactional pool. Dechert’s pooling system fosters further refinement in practice group interests, providing the opportunity to work on various assignments within a practice area before being assigned to a specific group at the end of the associates’ second year.  Dechert has a longstanding tradition of providing pro bono legal services to individuals and organizations who cannot otherwise afford legal counsel. Dechert’s Impact Fellowship is a public interest secondment program for incoming first-year associates. This program offers an opportunity to work for a year with public interest legal services organizations, enhancing skills while contributing to underserved communities.
Desmarais LLP	New York, NY, San Francisco, CA, Washington, DC	1	1/9	2L - Summer 2027	N/A	Desmarais LLP is a patent litigation firm. We view our Summer Program as the first three months of an incoming associate’s career.  Our summer associates are staffed onto cases just like any other associate would be—by considering the particular summer associate’s interests as well as the firm’s needs.  We take pride in the fact that our summer associates are given substantive and meaningful work from the outset, just like any other new associate to our firm.  Summer associates work with attorneys at all levels, from first-year associates to partners, and they become an integral part of the team.  Summer associate projects at Desmarais LLP are not the busywork or filing memos that flood other summer associate programs; rather, summer associates are asked to undertake tasks that would otherwise need to be completed by another member of the team.  We believe that the summer provides an important opportunity for mentoring and training that should not be squandered, and our goal is for our summer associates to authentically experience the life of a Desmarais LLP associate.  	Please submit applications to recruiting@desmaraisllp.com		85	6	New York: 2, DC: 2, San Francisco: 2	New York, NY, San Francisco, CA, Washington, DC	New York, NY, San Francisco, CA, Washington, DC		The Hiring Partners assign, based on case-need and background.	General offer to join the firm – we are a boutique and our main focus in IP/Patent Litigation.	Case-by-case basis	Case-by-case basis			
Dentons US	Not participating	Not participating	N/A	N/A	N/A	N/A	https://students.dentons.com/opportunities-around-the-globe/united-states/	Vault: https://vault.com/company-profiles/law/dentons 	1,000+	29	Atlanta: 2, Chicago: 3, DC: 5, Denver: 2, Honolulu: 2, Kansas City: 2, LA: 2, New York: 8, Short Hills: 1, St. Louis: 2	N/A	TBD	8	hired into a practice	Directly into a practice group	No	No	$4,479	Name: Nicole Gonzales, Email: nicole.gonzales@dentons.com	Dentons is designed to be different. We are who we are because of what we do and the scale on which we do it. From the big ideas right through to the big deals, our bigger picture is always growing. With offices in more than 200 locations across 80 countries, our global platform provides advantages to you for your career. Take your career where you want to go. Join us, Discover Dentons, and reinvent the practice of law with us.  Law students who join the Dentons Summer Associate Program experience first-hand the energy, creativity and collegiality that define life at Dentons. Our smaller class size offers a more personalized experience and a realistic picture of what being a Dentons lawyer is like. As a Dentons Summer Associate, you will get the opportunity to work on real client matters and receive mentorship and guidance along the way. You will also have the chance to participate in tailored training sessions, social events, pro bono projects, and collaborative discussions with partners and Firm leaders to help you understand what we are all about. Visit http://students.dentons.com to learn more.
DLA Piper	Corporate:  Austin, Chicago, New York, Palo Alto, San Diego, San Francisco, Seattle, Short Hills and Washington, DC Litigation:  Atlanta, Austin, Baltimore, Boston, Chicago, Dallas, Los Angeles, Miami, New York, Philadelphia, San Diego, San Francisco, Seattle, and Washington, DC	Corporate - 1 Litigation - 1	1/9	2L - Summer 2027	No	We are seeking candidates with an entrepreneurial mindset, who are motivated to build their legal skills and gain insight into client needs.  We value innovators and creative thinkers. If you thrive on challenge and value teamwork, we want to hear from you. As a summer associate in our Corporate group, you will receive a tailored experience working on transactional matters along with pro bono opportunities. As a summer associate in our Litigation group, you will receive a tailored experience working on trials, appeals, and related counseling along with pro bono opportunities. Our in-depth training focuses on your development and helps prepare you for the future. You will be assigned a team who will provide support and offer feedback, and you will be able to build your network through social events. Our 10-week program provides insight to what life is like as an associate at DLA Piper. Corporate: Ideal candidates will have a demonstrated interest in Corporate and a background or education in business or finance. No immigration sponsorship is available for this position. Law students must complete the equivalent of four semesters of law school prior to the start of our 2027 Summer Program. Litigation: We are seeking candidates with an entrepreneurial mindset, who are motivated to build their legal skills and gain insight into client needs.  We value innovators and creative thinkers. If you thrive on challenge and value teamwork, we want to hear from you. As a summer associate in our Litigation group, you will receive a tailored experience working on trials, appeals, and related counseling along with pro bono opportunities. Our in-depth training focuses on your development and helps prepare you for the future. You will be assigned a team who will provide support and offer feedback, and you will be able to build your network through social events. Our 10-week program provides insight to what life is like as an associate at DLA Piper. Ideal candidates will have a demonstrated interest in litigation. Law Review or Moot Court preferred. No immigration sponsorship is available for this position. Law students must complete the equivalent of four semesters of law school prior to the start of our 2027 Summer Program."	https://dlapiper.wd1.myworkdayjobs.com/dlapiper?_gl=1*1o087z8*_ga*MTg3OTk2MDMzNi4xNzIwODIwMTcw*_ga_NF3H0849M0*MTczMDgyNjQ3My43LjEuMTczMDgyNjUwNS4yOC4wLjA.		Around 5,000	100	Atlanta: 2, Austin: 2, Baltimore: 2, Boston: 3, Chicago: 15, DC: 12, Los Angeles: 3, Miami: 3, New York: 30, Palo Alto: 2, Philadelphia: 8, San Diego: 3, Seattle: 2, San Francisco: 5, Short Hills: 2	Austin, Boston, Chicago, Miami, New York, Palo Alto, San Diego, San Francisco, Seattle - Click here to view the practice groups hiring in these locations.	Atlanta, Austin, Baltimore, Boston, Chicago, Dallas, DC, Los Angeles, Miami, New York, Philadelphia, Palo Alto, San Diego, San Francisco, Seattle  - Click here to view the practice groups hiring in these locations.	10	Hiring into practice groups: 1Ls: Corporate, Investment Fund, Litigation, Patent Lit, Patent Dev, Private Equity, Real Estate 2Ls: Corporate, Employment, Finance, Investment Funds, IPT (Patent Lit, Patent Dev, Franchise), Litigation, Private Equity, Real Estate, Regulatory, Tax    	Directly into a practice group	No	No	$4,327	Name: Recruiting, Email: lawschoolrecruiting@us.dlapiper.com	DLA Piper is a leading global law firm where high performance is the standard. The firm’s summer associate program is built for law students who are driven, intellectually curious, and ready to thrive in a fast-paced environment. From day one, you will be immersed in rigorous training, hands-on experiences, and a firm culture that values excellence, initiative, and impact. You are able to challenge yourself, contribute meaningfully, and connect with legal professionals across the firm – allowing you to launch your legal career with confidence.
Elsberg Baker & Maruri	New York, NY	0.5	1/7	1L - Summer 2026 2L - Summer 2027	N/A	Our 10-week Summer Associate program is designed to provide aspiring litigators with an immersive experience in trial and litigation work. We offer a unique environment where summer associates work closely with partners and associates on the firm’s active client matters. This program emphasizes skill development in litigation practice areas while fostering a sense of ownership and accomplishment in every project. We are accepting applications from 1L candidates for our 2026 Summer Program and rising 2L candidates for our 2027 Summer Program. Candidates may apply to either (or both) programs. If interested, please submit your resume, law school transcript, and a writing sample. Summer Associates are paid for the 10 weeks of the summer program on a prorated basis based upon our first-year associate compensation (currently $225,000/year). For more information, please visit us at www.elsberglaw.com	https://www.elsberglaw.com/the-firm	Vault: https://vault.com/company-profiles/law/elsberg-baker-maruri-llp   Flo Forward: https://florecruit.com/v2/app/forward/firms/elsberglaw 	23 attorneys (29 by end of October)	3	New York: 3	New York	New York	10	Free Market	We are a litigation boutique so offers are made to join the practice generally.	No	Case-by-case basis	Based on first-year associate salary ($225,000 annually)	Name: Joanna Desposati, Email: jdesposati@elsberglaw.com	EBM Associates are trained chiefly through early standup opportunities with additional formal classroom-style trainings as a complement. In our firm’s first six months, all of our associates of every class year had been to trial or arbitration at least once. We are committed to developing skilled, well-rounded attorneys prepared to excel in all aspects of their careers. We offer a comprehensive Associate Training Program that begins with our “How to Succeed as an Associate” series. New associates learn the essentials of time and case management, producing high-quality work, effective communication with clients and opposing counsel, and more. To further support growth, we also provide quarterly business development training for all associates, equipping them with the tools to build and sustain strong client relationships, including an annual business development budget. With ongoing guidance and targeted learning opportunities, our associates are set up for success from day one.
Faegre Drinker Biddle & Reath	Not participating	Not participating	N/A	N/A	N/A		https://apply.faegredrinker.com/virecruitselfapply/RecDefault.aspx?Tag=5773887d-0f3f-4486-824b-3917e5884e5d	Vault: https://vault.com/company-profiles/law/faegre-drinker-biddle-reath-llp  Faegre Drinker: https://www.faegredrinker.com/en/careers/law-students#tab-Overview 	1,200+	56	Chicago: 5, Dallas: 4, DC: 5, Denver: 1, Des Moines: 1, Florham Park: 3, Fort Wayne: 1, Indianapolis: 9, Los Angeles: 2, Minneapolis: 10, New York: 3, Philadelphia: 12	TBD	Chicago, Dallas, DC, Denver, Des Moines, Florham Park, Fort Wayne, Indianapolis, Los Angeles, Minneapolis, New Jersey, New York, Philadelphia	10	11 of our 12 offices do not have formal rotation programs. In these offices, there is a central Work Allocation System which allows for attorneys to enter assignments. While Summer Associates can see all assignments, they are not responsible for self-selecting them. Instead mid to senior level associates serving as Work Coordinators work to ensure an even distribution of projects including areas of practice, type of assignment, and overall number of hours. Summer Associates meet with Recruiting and Work Coordinators on a weekly basis to voice preferences for future work and to receive advice on how to manage practice. The Minneapolis office uses a formal rotation system that allows for 2 weeks in each practice area that a student is assigned to. All Summer Associates receive national work in addition to local projects as well as a pro bono assignment. These opportunities are built in so that everyone can experience what it is like to work across offices.	Practice area preferences are surveyed at the start of summer, near the middle, and at the end. Assignments are made by early spring.	No	No	Varies by location	Name: Frannie De Simone, Email: frannie.desimone@faegredrinker.com	Our industry-leading approach to career development distinguishes us from other firms. Our associates have recognized this fact by giving us top marks in 7 out of 8 categories in BTI Consulting Group’s most recent associate satisfaction survey.  We know that it’s a big adjustment to go from law school to law practice. As a first-year associate, you won’t start working for clients’ billable work until you have participated in our First Year Associate Development Training Program and developed some foundational skills. Our program introduces you to the practice of law and topics like managing time and client service while providing practice specific skills-based training.    We have other unique career development resources that you’ll experience throughout your associate years. Because we know that exposure to experienced attorneys is great training, our first-year apprenticeship program provides you with 50 creditable hours for time spent learning from more senior attorneys. We also have a dedicated writing coach.  And knowing that you may not have been introduced to business development in law school, we have a targeted curriculum for you.   Please consider joining us! At Faegre Drinker, you will be able to power your individual potential.
Fenwick & West	Mountain View, CA, New York, NY, San Francisco, CA	NY - 0.5 Mountain View and SF - 0.5	1/7	2L - Summer 2027	No	Fenwick began as a group of upstart lawyers in Silicon Valley with a big vision for the business of technology. Today, with a team over 500 lawyers strong and seven offices strategically located in tech hubs across the United States, we remain committed to constant evolution, in partnership with our clients, to broaden our shared horizons. We’re a diverse and spirited team of unconventional minds, close collaborators, and passionate advocates with as much technical insight as legal prowess. Our clients, from startups to market leaders, are changing the world through relentless innovation, and we are standing right beside them to help make it happen. Our lawyers are constantly redefining what is possible when it comes to the practice of law and partnering with our clients at every stage of growth.   We were named both Life Sciences Practice Group of the Year and Technology Practice Group of the Year by Law360 in 2024, recognitions that reflect our commitment to staying strategically ahead in these fast-evolving fields. We are also consistently ranked a Chambers first-tier firm for delivering deep experience and technical skills that help innovators at the forefront of their industries shatter boundaries and redefine what’s possible.   We are seeking law students who expect to complete the equivalent of four semesters of law school prior to the start of the 2027 summer program. Our goal during the summer associate program is to provide a realistic, professional, and meaningful experience. Our team will provide you with a practical and exciting view of the legal industry. You’ll experience challenging days filled with client work, mentorship, and relationship-building opportunities. Your summer will also be punctuated with training programs, professional development exercises, and events and activities. Summer Associates also observe and, when possible, assist in trials, hearings, depositions, and negotiations, and participate in client meetings and closings. We look forward to welcoming talented and motivated students who are eager to learn, grow, and make an impact.   With the goal of creating a highly qualified group of Summer Associates that represent varied backgrounds, experiences, and viewpoints, we value high academic achievement among other factors, including leadership skills, entrepreneurial spirit, communication skills, and professional experience. Our Summer Associates typically rank near the top of their classes.    New York: Please note that we are looking for candidates interested in our Corporate, Litigation, and Technology Transactions groups (Licensing) in our New York office.   Mountain View (Silicon Valley):  Please note that we are looking for candidates interested in our Corporate, Litigation, and Technology Transactions groups (Licensing) in our Mountain View office (Silicon Valley).    San Francisco:  Please note that we are looking for candidates interested in our Corporate, Litigation, and Technology Transactions groups (Licensing) in our San Francisco office.	https://www.fenwick.com/	Vault: https://vault.com/company-profiles/law/fenwick-west-llp   Flo Forward: https://florecruit.com/v2/app/forward/firms/fw 	750	43	DC: 2, Mountain View: 6, New York: 13, San Francisco: 15, Santa Monica: 4, Seattle: 3	Boston, DC, Mountain View, New York, San Francisco, Santa Monica, Seattle	Boston, DC, Mountain View, New York, San Francisco, Santa Monica, Seattle	10	Hired into practice group: Corporate, Litigation, Tax, Tech Trans.	Directly into a practice group	No	Yes	$4,326.92	Name: Recruiting, Email: recruiting@fenwick.com	Fenwick’s free-market system is unique among law firms. Through this program, associates have the opportunity to choose assignments from a variety of practice areas, industries (with a focus on tech and life science), and offices in a way that matches their goals and interests. The free-market system encourages all associates to take ownership of their careers and build relationships within the firm, all with the support and guidance of the firm’s practice management team. Additionally, associates have opportunities to work on meaningful pro bono work.
Foley & Lardner LLP	Austin, TX, Boston, MA, Chicago, IL, Dallas, TX, Denver, CO, Detroit, MI, Houston, TX, Jacksonville, FL, Los Angeles, CA, Madison, WI, Miami, FL, Milwaukee, WI, Nashville, TN, New York, NY, Orlando, FL, Raleigh, NC, Salt Lake City, UT, San Diego, CA, San Francisco, CA, Silicon Valley, CA, Tallahassee, FL, Tampa, FL, Washington, DC	1	1/7	2L - Summer 2027	N/A	Foley & Lardner LLP is accepting applications from first-year law students interested in joining the firm’s 2027 2L Summer Associate Program. Positions are available in the following departments: Business Law, Intellectual Property, and Litigation. Our ideal candidates are eager to confront new challenges and responsibilities, take satisfaction in developing practical, winning solutions, value an environment where everyone is treated with mutual support and respect, and do their best work when functioning as part of a team. The firm anticipates hosting a 10-week program for summer 2027. To be considered, a candidate must have excellent academic credentials and attend an ABA-accredited law school. Foley & Lardner LLP offers a competitive compensation structure applicable to all positions. The salary for this position is $225,000/year, pro-rated based on the duration of employment. This role is not eligible for benefits. Foley & Lardner LLP is an Affirmative Action/Equal Opportunity Employer/Vet/Disabled. For applicants applying to our California offices, we will consider for employment qualified applicants with arrest and conviction records pursuant to local ordinances.	https://www.foley.com/careers/law-student-and-patent-engineers/	Flo Forward: https://florecruit.com/v2/app/forward/firms/Foley  Vault: https://vault.com/company-profiles/law/foley-lardner-llp   LinkedIn: https://www.linkedin.com/company/foley-&-lardner-llp   Instagram: https://www.instagram.com/foleyandlardner/  Chambers: https://chambers.com/law-firm/foley-lardner-llp-usa-5:3838 	1,100	59	Boston: 7, Chicago: 6, Dallas: 3, DC: 3, Denver: 1, Detroit: 2, Edison: 3, Houston: 2, Jacksonville: 1, Los Angeles: 3, Miami: 2, Milwaukee: 13, New York: 2, Orlando: 1, Raleigh: 1, Salt Lake City: 3, San Diego: 1, San Francisco: 1, Silicon Valley: 1, Tallahassee: 1, Tampa: 2	N/A	TBD	10	Free Market	Varies by office location	Varies by office location	Case-by-case basis	$4,327	Name: Lindsay Butts, Legal Recruiting Manager, Email: lbutts@foley.com	We’re proud to be an Am Law 50 firm consistently ranked among top-tier practices. With 26 offices across the United States, Mexico, Europe, and Asia, our market-leading platform includes Corporate, Intellectual Property, and Litigation. Adding depth to our bench strength, we focus on four primary sectors: Energy & Infrastructure, Health Care & Life Sciences, Innovative Technology, and Manufacturing.  Our people are our most valuable asset, and their quality, creativity, and dedication are indispensable to our success. We pride ourselves on providing superior service to our clients, and we can’t do it without talented professionals. Our firm stands on a foundation of trust, mutual respect, collegiality, communication, and perhaps most importantly, teamwork.  Starting on day one, our associates are exposed to interesting, challenging, and fulfilling assignments for clients of all sizes and across all industries. This allows them to build substantive experience through hands-on learning and receive valuable feedback from partners. They’re also immediately paired with a mentor and begin training that encompasses legal and professional skills, business development, and business of law curricula. Professional and personal growth are priorities here!
Foley Hoag LLP	Not participating	Not participating	N/A	N/A	N/A	N/A	https://foleyhoag.com/recruiting/	Chambers: https://chambers.com/law-firm/foley-hoag-llp-usa-5:1757   Vault: https://vault.com/company-profiles/law/foley-hoag-llp 	335	7	Boston: 7	Boston, New York	Boston, New York	10	Foley Hoag uses a Free Market assignment system for its summer program. Attorneys across practice groups enter projects into a shared assignment pool, and summer associates can browse and select the assignments that interest them most. This approach allows students to explore different practice areas, gain hands-on experience, and tailor their summer work to their interests while building relationships with attorneys throughout the firm.	Directly into a practice group	Varies by office location	Case-by-case basis	$225,000 PRO-RATED WEEKLY	Name: Heejin Choi, Email: hchoi@foleyhoag.com	Foley Hoag is a place where law students and new lawyers gain real responsibility from the start, working on sophisticated matters in a collaborative, supportive environment. Founded in 1943, the firm has grown into an international practice of more than 300 lawyers across Boston, Denver, New York, WaDC, D.C., and Paris. We represent public and private clients in a wide range of disputes and transactions, with particular strength in innovation-driven industries such as life sciences, health care, technology, energy/renewables, and cannabis.  What makes Foley Hoag unique is the way we combine deep knowledge and superior legal skill with a strong sense of community and purpose. Our attorneys provide creative, strategic advice tailored to each client’s goals—whether serving startups, global companies, or governments. Just as importantly, we are committed to leadership in pro bono service and to our culture of diversity, creativity, and acceptance.  For students, this means joining a firm that not only offers cutting-edge legal work but also values mentorship, collaboration, and impact—helping you develop practical skills and build a meaningful career from day one.
Foster Garvey PC	Seattle, WA	0.5	1/9	2L - Summer 2027	N/A	Foster Garvey is looking to hire law students for our summer program who are interested in joining a fast-paced and collegial law firm, are committed to producing excellent work product, possess strong written and analytical skills, and have a solid academic record. By virtue of the Firm’s size and culture, we provide summer associates with the opportunity to get involved in meaningful work and direct client service. We have strong mentoring and professional development programs to help summer associates develop their skills and succeed at the Firm. Each summer associate is assigned an associate and principal mentor to provide support and guidance. We are dedicated to investing in not just the professional growth, but also the personal growth of our attorneys. Our Attorney Recruiting Department, Committee Co-Chairs, and Workflow Coordinators manage the summer associate program. The Workflow Coordinators work one-on-one with summer associates to involve them in varied work experiences and projects while connecting them with attorneys across the Firm’s six offices. During the 10-week summer program, summer associates might help research and draft a trial brief or a summary judgment motion; analyze a contract on behalf of a professional athlete, high-tech company, or major corporation; or be involved in an international transaction. Summer associates will also be encouraged to seek opportunities to work on public service matters. The Firm has a track record of litigating significant game-changing pro bono cases that protect the rights of some of society’s most vulnerable people. Meaningful legal work is only part of the summer associate experience. You will join Firm leaders, attorneys, and staff in a wide range of social activities, some of which include meeting our clients outside of the office. We want to ensure that summer associates have an excellent introduction to what it is like to be an attorney at our Firm. Diversity, equity, and inclusion are core values at Foster Garvey and are integrated into the Firm’s culture and how we do business. Guiding Foster Garvey’s actions in these important areas is the Opportunity & Progress Council (OPC), which establishes and executes the Firm’s strategic initiatives aimed at breaking down institutional and cultural barriers to diversity, equity, and inclusion, and creating a shared environment where everyone can do their best work together. Job Requirements: We are looking for intellectually curious and hardworking candidates with diverse backgrounds and experiences. Strong academic credentials, previous work experience, and demonstrated leadership abilities are preferred. Our most successful attorneys are self-motivated and collegial, committed to continuous professional and personal growth. Salary Range: As a summer associate, you will be paid based on the rate for first-year associates in the Seattle office. The current starting annual salary for an entry-level, full-time associate in Seattle is $180,000, or approximately $3,462 per week, less required withholdings. Foster Garvey values diversity and is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, citizenship, veteran status, marital status, sexual orientation, gender identity or expression, physical or mental disability, political ideology, familial relationships, or status in any other legally protected group. Please note that our Portland, New York, Spokane, Tulsa, and Washington, D.C. offices are not accepting applications for summer 2027.	https://www.foster.com/careers-positions		150+	5	Seattle: 5	N/A	Seattle	10 Weeks	Rotational program assignment system	Return offers are for associate positions within a practice group	Case-by-case basis	No	$3,462		
Fox Rothschild LLP	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.foxrothschild.com/careers-for-students	NALP Directory: https://www.nalpdirectory.com/employer_profile?FormID=7812   Vault: https://legacy.vault.com/company-profiles/law/fox-rothschild   Flo Forward: https://florecruit.com/v2/app/forward/firms/foxrothschild 	1,000+	23	Atlanta: 1, Atlantic City: 1, Bucks County: 1, Chester County: 1, Denver: 1, Greensboro: 1, Los Angeles: 1, Miami: 1, Minneapolis: 3, Morristown: 1, New York: 2, Philadelphia: 1, Pittsburgh: 2, Princeton: 1, Raleigh: 1, San Francisco: 2, Seattle: 1, Wilmington: 1	TBD	TBD	10	Free Market	Directly into a practice group	No	No	$3,461.53 - $3,942.30	Name: Natalie Quinn, Email: nquinn@foxrothschild.com	Fox Rothschild is a national Am Law 100 firm with 1,000 attorneys across 30 offices, delivering the top-notch client service expected from a boutique combined with the robust resources of a major firm. Our 70+ practice groups have deep industry knowledge, providing a full range of legal services to individuals and businesses — public, private, nonprofit, startup, family-run and multinational. We have a full array of practices covering a broad range of legal disciplines including litigation, corporate, labor and employment, real estate, intellectual property, tax and wealth, bankruptcy, entertainment and family law. We are known as enterprising, forward-thinking and results-driven lawyers who anticipate challenges and provide customized solutions with a personal touch. Associates join an entrepreneurial, results-driven team that excels at client service. The firm strategically builds teams to accelerate associate development through meaningful responsibility and comprehensive training in legal writing, negotiation and client relations. Fox Rothschild fosters a collegial atmosphere built on respect and communication across all offices. This collaborative culture ensures new attorneys have strong support systems while building practices that span decades.
Freshfields	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.freshfields.com/en/your-career/united-states/law-students  Freshfields will begin conducting callbacks on a rolling basis starting on Monday, January 5, and their application portal will close on Friday, January 30. 	American Lawyer: https://www.law.com/americanlawyer/2025/09/29/the-summer-associates-survey-sentiments-sail-or-sink-based-on-approach-to-2025s-biggest-challenges/?slreturn=20251009114253 	468	75	Boston: 2, DC: 15, New York: 51, Silicon Valley: 7	TBD	Boston, DC, New York, Silicon Valley	10	Boston, New York, and California-based summer associates may choose the types of work they wish to do, and work is allocated based on expressed interests and availability. We foster a continual dialogue throughout the summer regarding practice preferences, and summer associates are placed into practice groups at the conclusion of the summer program.     In the WaDC, D.C., office, summer associates are hired into either our Litigation or our Antitrust, Competition, and Trade (ACT) group.	Varies by office location	Yes	Case-by-case basis	$4,326.92	Name: US Legal Recruiting Inbox, Email: $usrecruitinglegal@freshfields.com	Freshfields is an elite law firm with over 2,800 legal professionals around the world. Our fast-growing US practice covers the spectrum of commercial law from offices in New York, San Francisco, Silicon Valley, DC, and Boston. We constantly break new legal ground and handle our clients’ most complex and high-profile corporate, regulatory and litigation challenges.   This is an exciting time to join a global firm at the forefront of commercial law. It’s a chance to own your career, face new challenges and make a meaningful impact in a fast-paced, dynamic environment.
Fried Frank Harris Shriver & Jacobson LLP	New York, NY, Washington, DC	NY - 1 DC - 0.5	1/8	2L - Summer 2027	Yes	We are seeking energetic and motivated law students to join our firm for the Summer 2027 program. Candidates should demonstrate a high level of intellectual ability, a strong academic record, creativity, and an interest in working in a collegial and collaborative environment. As a summer associate law clerk, you will: • select assignments from a diverse range of practice areas—including Antitrust, Corporate (Asset Management, Capital Markets, Finance, Financial Regulation & Derivatives, IP, M&A), Executive Compensation & ERISA, Litigation, Real Estate, Restructuring, and Tax—without the constraints of a formal rotation. Summer law clerks have the flexibility to tailor their summer experience according to their interests. • contribute meaningfully to ongoing cases and transactions, working closely with experienced attorneys and professionals; • complete a minimum of 20 hours of Pro Bono work during the summer program, supporting the firm’s commitment to public service; • participate actively in training sessions, networking events, and firm-sponsored activities designed to foster professional development and collegiality. To learn more, visit friedfrank.com/careers.	https://www.friedfrank.com/careers	Vault: https://vault.com/company-profiles/law/fried-frank-harris-shriver-jacobson-llp   Flo Forward: https://florecruit.com/v2/app/forward/firms/friedfrank  Instagram: https://www.instagram.com/friedfrank?igsh=ZzkxdWMxbGx0cXpw	800	59	DC: 9, New York: 50	Austin, Dallas, Houston, Miami	DC, New York	10	Summer associates are allowed to focus on a particular practice group immediately, while others want to try out a range of practice areas before choosing a focus. You can determine your own path and choose to take work from many or as few practice areas as you like.	Practice area preferences asked for after offer	Yes	Case-by-case basis	Summer Associates are paid on a semi-monthly rate of $9375	Name: Nancy Parker, Email: nancy.parker@friedfrank.com Name: Christine Sabbio, Email: christine.sabbio@friedfrank.com	Our 10-week summer program offers substantive training in real world legal and business situations. You will be in the thick of it right from the start, working side-by-side with our lawyers at client meetings, negotiations, closings, court appearances and depositions. You will also participate in pro bono work for individuals and organizations in our local communities and beyond.
